subfolder,filename,annotator,characters,scene_setting,faces_position,social_class,toy,emotional_intensity,done
1891_Les_joujoux_parlants,pg_25_img_1.jpg,gigi,Man;Girl;Woman;Boy;Man;Man;Woman;Man;Man;Man,Indoors,profile;three_quarter_look_up;three_quarter_look_down;front;three_quarter;three_quarter;three_quarter_look_down;profile;front;three_quarter_look_down,Working Class;Middle Class;Middle Class;Middle Class;Middle Class;Middle Class;Middle Class;Middle Class;Middle Class;Middle Class,None,2.0,True
1891_Les_joujoux_parlants,pg_107_img_1.jpg,gigi,Animal;Animal;Animal;Animal;Animal;Animal,Indoors,three_quarter_look_down;front;three_quarter_look_up;three_quarter_look_up;behind;three_quarter_look_up,None;None;None;None;None;None,None,2.0,True
1891_Les_joujoux_parlants,pg_15_img_1.jpg,gigi,Mythical / Imaginary Being;Mythical / Imaginary Being,Indoors,front;front,Ambigous;Ambigous,None,2.0,True
1891_Les_joujoux_parlants,pg_143_img_1.jpg,gigi,Woman;Girl,Indoors,behind;three_quarter_look_down,Upper Class;Upper Class,other;doll;toy soldier;puppet;toy soldier;other;puppet;puppet,2.0,True
1891_Les_joujoux_parlants,pg_106_img_1.jpg,gigi,Man,Indoors,three_quarter,Middle Class,None,2.0,True
1891_Les_joujoux_parlants,pg_119_img_1.jpg,gigi,Man;Animal;Man;Man,Indoors,profile;behind;three_quarter;profile,Middle Class;None;Middle Class;Middle Class,None,2.0,True
1891_Les_joujoux_parlants,pg_129_img_1.jpg,gigi,Animal,Indoors,three_quarter,None,None,2.0,True
1891_Les_joujoux_parlants,pg_63_img_1.jpg,gigi,None,Indoors,None,None,puppet;puppet;puppet;puppet;puppet;doll;doll;puppet;puppet;puppet,1.0,True
1891_Les_joujoux_parlants,pg_51_img_1.jpg,gigi,Man;Animal;Man,Indoors,front;three_quarter;three_quarter_look_up,Ambigous;None;Working Class,hoop;toy soldier;toy soldier;toy soldier,2.0,True
1891_Les_joujoux_parlants,pg_19_img_1.jpg,gigi,Man;Woman;Woman;Man;Woman;Woman;Woman;Woman;Woman,Indoors,profile;three_quarter;three_quarter;front;behind;three_quarter;behind;profile;three_quarter,Working Class;Middle Class;Middle Class;Working Class;Middle Class;Middle Class;Middle Class;Middle Class;Middle Class,puppet,2.0,True
1891_Les_joujoux_parlants,pg_39_img_1.jpg,gigi,Mythical / Imaginary Being;Boy,Indoors,profile;profile,Ambigous;Upper Class,doll;other;hoop;puppet;other;puppet;other;other;other;doll,2.0,True
1891_Les_joujoux_parlants,pg_35_img_1.jpg,gigi,Mythical / Imaginary Being,Indoors,profile,Ambigous,None,2.0,True
1891_Les_joujoux_parlants,pg_14_img_1.jpg,gigi,None,Indoors,None,None,puppet;puppet;puppet;puppet;puppet;other;toy soldier;puppet;puppet;puppet,2.0,True
1891_Les_joujoux_parlants,pg_31_img_1.jpg,gigi,Woman;Woman;Boy;Woman,Indoors,three_quarter;front;behind;three_quarter_look_down,Middle Class;Middle Class;Middle Class;Middle Class,None,3.0,True
1860_Memoire_d_un_ane,Ane_16.jpg,gigi,Boy;Man;Man;Woman;Man;Man;Animal,Indoors,profile;three_quarter_look_up;three_quarter_look_down;profile;front;three_quarter_look_down;profile,Poor;Poor;Poor;Poor;Poor;Working Class;None,None,3.0,True
1860_Memoire_d_un_ane,Ane_15.jpg,gigi,Man;Animal,Indoors,profile;profile,Poor;None,None,2.0,True
1860_Memoire_d_un_ane,Ane_0.jpg,gigi,Woman;Animal,Indoors,three_quarter_look_down;three_quarter_look_down,Poor;None,None,3.0,True
1891_Les_joujoux_parlants,pg_83_img_1.jpg,gigi,Girl;Mythical / Imaginary Being,Indoors,three_quarter_look_down;profile,Ambigous;Ambigous,None,3.0,True
1860_Memoire_d_un_ane,Ane_7.jpg,gigi,Girl;Woman;Animal;Boy;Man;Woman;Man;Man,Indoors,profile;three_quarter_look_down;three_quarter_look_up;behind;three_quarter_look_down;profile;three_quarter_look_down;profile,Middle Class;Middle Class;None;Poor;Middle Class;Middle Class;Middle Class;Middle Class,None,3.0,True
1860_Memoire_d_un_ane,Ane_18.jpg,gigi,Man;Man;Man;Boy;Girl;Boy;Boy;Man;Animal;Girl,Indoors,profile;behind;behind;profile;profile;behind;three_quarter_look_up;three_quarter_look_down;profile;profile,Middle Class;Poor;Poor;Poor;Poor;Poor;Poor;Poor;None;Poor,None,3.0,True
1860_Memoire_d_un_ane,Ane_14.jpg,gigi,Man;Man;Woman,Indoors,three_quarter_look_down;profile;three_quarter_look_up,Upper Class;Upper Class;Upper Class,None,3.0,True
1865_Les_aventures_de_Jean-Paul_Choppart,pg_153_img_1.jpg,gigi,Animal;Man,Indoors,profile;three_quarter_look_down,None;Working Class,None,3.0,True
1865_Les_aventures_de_Jean-Paul_Choppart,pg_276_img_1.jpg,gigi,Man;Man;Woman,Indoors,three_quarter_look_down;three_quarter_look_down;profile,Poor;Working Class;Poor,None,3.0,True
1865_Les_aventures_de_Jean-Paul_Choppart,pg_193_img_1.jpg,gigi,Man;Woman;Man;Man;Man;Man;Woman,Indoors,three_quarter;three_quarter_look_up;three_quarter_look_up;three_quarter_look_up;three_quarter_look_down;three_quarter;three_quarter_look_up,Poor;Poor;Poor;Poor;Poor;Poor;Poor,None,3.0,True
1865_Les_aventures_de_Jean-Paul_Choppart,pg_235_img_1.jpg,gigi,Boy;Woman;Man;Man;Man;Man,Indoors,behind;profile;None;three_quarter_look_down;three_quarter_look_down;None,Poor;Poor;Poor;Poor;Poor;Poor,None,3.0,True
1865_Les_aventures_de_Jean-Paul_Choppart,pg_168_img_2.jpg,gigi,Man;Man;Man;Man;Man;Man;Man;Man,Indoors,profile;three_quarter_look_up;profile;three_quarter_look_up;behind;behind;behind;profile,Middle Class;Middle Class;Middle Class;Middle Class;Middle Class;Middle Class;Middle Class;Middle Class,None,3.0,True
1865_Les_aventures_de_Jean-Paul_Choppart,pg_210_img_1.jpg,gigi,Man;Man,Both / Ambiguous,three_quarter_look_down;three_quarter_look_up,Middle Class;Working Class,None,2.0,True
1860_Memoire_d_un_ane,Ane_5.jpg,gigi,Animal;Man;Animal;Woman;Animal;Man;Woman;Animal;Animal;Woman,Outdoors,three_quarter_look_down;three_quarter_look_down;three_quarter_look_down;three_quarter;three_quarter_look_down;three_quarter_look_down;three_quarter_look_down;profile;three_quarter_look_up;three_quarter_look_up,Middle Class;Middle Class;None;Middle Class;None;Middle Class;Middle Class;None;None;Middle Class,None,4.0,True
1860_Memoire_d_un_ane,Ane_1.jpg,gigi,Animal;Animal;Woman;Man;Boy;Girl;Man,Outdoors,three_quarter_look_up;profile;profile;three_quarter_look_down;three_quarter_look_up;three_quarter_look_down;three_quarter_look_down,None;None;Poor;Poor;Poor;Poor;Middle Class,None,4.0,True
1865_Les_aventures_de_Jean-Paul_Choppart,pg_74_img_1.jpg,gigi,Man;Man,Outdoors,three_quarter_look_up;three_quarter_look_down,Poor;Poor,None,1.0,True
